OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
3140334,04092020037,Circle K #8524,3948 NEW BERN AVE ,,RALEIGH,NC,27610-1333,(919) 231-8060,1991/05/01 04:00:00+00,Food Stand,351,-78.56881377,35.79852603,M
3140335,04092110017,Brassfield Road Elem. Cafeteria,2001 BRASSFIELD RD ,,RALEIGH,NC,27614-9453,(919) 870-4080 ext. 24076,1991/05/01 04:00:00+00,Public School Lunchrooms,385,-78.6303403,35.93349947,M
3140336,04092010625,Romas Pizzeria,3805 Brentwood Rd,,RALEIGH,NC,27604-1723,(919) 876-2818,1991/05/08 04:00:00+00,Restaurant,399,-78.60062749,35.83624718,M
3140337,04092012198,Windsor Point Restaurant,1221 BROAD ST,,FUQUAY VARINA,NC,27526-3602,(919) 552-4580,1998/02/27 05:00:00+00,Restaurant,330,-78.80163084,35.59974785,T
3140338,04092010827,Winston's Grille,6401 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-6812,(919) 790-0700,1991/05/08 04:00:00+00,Restaurant,422,-78.62163029,35.86964663,M
3140339,04092110016,Leadmine Elementary Cafeteria,8301 OLD LEAD MINE RD ,,RALEIGH,NC,27615-2930,(919) 870-4120 ext. 21182,1991/09/17 04:00:00+00,Public School Lunchrooms,438,-78.65713584,35.89159018,M
3140340,04092110085,Lynn Road Elem. Cafeteria,1601 LYNN RD ,,RALEIGH,NC,27612-6820,(919) 870-4074 ext. 20860,1991/09/17 04:00:00+00,Public School Lunchrooms,439,-78.66786984,35.87032502,M
3140341,04092110020,Joyner Elementary Cafeteria,2300 LOWDEN ST ,,RALEIGH,NC,27608-0707,(919) 856-7650 ext. 21606,1991/09/17 04:00:00+00,Public School Lunchrooms,452,-78.63298429,35.81521046,M
3140342,04092010989,Los Tres Magueyes,110 SW MAYNARD RD ,,CARY,NC,27511-4402,(919) 460-8757,1992/01/16 05:00:00+00,Restaurant,468,-78.78312573,35.77217563,M
3140343,04092010870,Taylor's Convenience Store,10005 SIX FORKS RD ,,RALEIGH,NC,27615-1636,(919) 847-3069,1992/01/17 05:00:00+00,Restaurant,472,-78.65047039,35.91579035,M
3140344,04092010851,Parkside,301 W MARTIN ST,,RALEIGH,NC,27601-1352,(984) 232-8969,1991/07/10 04:00:00+00,Restaurant,534,-78.64378535,35.77679428,M
3140345,04092011099,Barrys Cafe,2851 Jones Franklin RD ,,RALEIGH,NC,27606-4346,(919) 859-3555,1992/05/18 04:00:00+00,Restaurant,549,-78.73773412,35.74361197,M
3140346,04092011173,BOJANGLES #15,5409 CAPITAL BLVD ,,RALEIGH,NC,27616-2929,(919) 872-5820,1992/11/03 05:00:00+00,Restaurant,553,-78.58248301,35.85985873,M
3140347,04092011181,NC Farm Bureau Cafeteria,5301 GLENWOOD AVE ,,RALEIGH,NC,27612-3244,(919) 781-0547,1992/11/13 05:00:00+00,Restaurant,562,-78.69211011,35.84689434,M
3140348,04092011186,Kashin Restaurant,309 CROSSROADS BLVD ,,CARY,NC,27511-6894,(919) 851-7101,1992/11/25 05:00:00+00,Restaurant,571,-78.73871452,35.76064286,M
3140349,04092011048,NY Pizza,1831 N HARRISON AVE ,,CARY,NC,27513-2408,(919) 677-8484,1992/05/01 04:00:00+00,Restaurant,541,-78.7680818,35.82997763,M
3140350,04092011192,Subway #12044,235 TIMBER DR,,GARNER,NC,27529-4870,(919) 779-6820,1992/12/01 05:00:00+00,Restaurant,574,-78.60613102,35.68500723,M
3140351,04092012307,Starbucks,3101 EDWARDS MILL RD ,,RALEIGH,NC,27612-5303,(919) 789-4922,1998/08/07 04:00:00+00,Restaurant,601,-78.70695572,35.82544379,M
3140352,04092110111,Carver Elementary Lunchroom,291 LILES DEAN RD ,,WENDELL,NC,27591-9034,(919) 365-2680 ext. 22963,1998/07/20 04:00:00+00,Public School Lunchrooms,645,-78.38664199,35.79067948,M
3140353,04092013462,Paolo's,101 - 500 Keybridge St,,MORRISVILLE,NC,27560,(919) 678-9030,2001/11/26 05:00:00+00,Restaurant,617,-78.82290896,35.81970931,M
3140354,04092020145,Caspian International Food Mart,2909 Brentwood Rd ,,RALEIGH,NC,27604,(919) 954-0029,1991/05/08 04:00:00+00,Food Stand,687,-78.59681384,35.81969751,M
3140355,04092010495,Milton's Pizza House,8853 SIX FORKS RD ,,RALEIGH,NC,27615-2970,(919) 847-0604,1991/05/09 04:00:00+00,Restaurant,711,-78.65461142,35.89932701,M
3140356,04092020845,Papa John's,6470 TRYON RD ,,CARY,NC,27511-7050,(919) 851-5656,1998/06/29 04:00:00+00,Food Stand,723,-78.761351,35.74432985,M
3140357,04092012279,KANKI JAPANESE HOUSE OF STEAKS AND SUSHI,4325 Glenwood Ave ,,RALEIGH,NC,27612,(919) 782-9708,1998/07/30 04:00:00+00,Restaurant,731,-78.68184484,35.84183815,T
3140358,04092010549,The Peddler Steak House,6005 GLENWOOD AVE ,,RALEIGH,NC,27612-2636,(919) 787-6980,1991/05/13 04:00:00+00,Restaurant,742,-78.7015418,35.85400628,M
3140359,04092010617,Rex Hospital Cafeteria,4420 Lake Boone TRL ,,RALEIGH,NC,27607-6599,(919) 784-4173,1991/05/13 04:00:00+00,Restaurant,752,-78.7024202,35.81817248,M
3140360,04092010708,Subway,4112 PLEASANT VALLEY RD ,,RALEIGH,NC,27612-6256,(919) 787-7981,1991/05/13 04:00:00+00,Restaurant,766,-78.70472608,35.86043731,M
3140361,04092010815,Wildwood Green Snack Bar,3000 Ballybunion Way ,,RALEIGH,NC,27612,(919) 846-5380,1991/05/13 04:00:00+00,Restaurant,778,-78.6857282,35.91006629,M
3140362,04092012901,Links Grille At Lochmere,2511 KILDAIRE FARM RD,,CARY,NC,27511-9611,(919) 851-0611,1999/03/29 04:00:00+00,Restaurant,786,-78.76802116,35.72297677,M
3140363,04092012930,PTA Of Wake Forest,12277 CAPITAL BLVD ,,WAKE FOREST,NC,27587-6200,(919) 554-1400,1999/05/17 04:00:00+00,Restaurant,814,-78.54097555,35.98087356,M
3140364,04092012900,Los Tres Vaqueros,7909-109 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-3348,(919) 846-6666,1999/03/26 04:00:00+00,Restaurant,785,-78.62697433,35.89197359,M
3140365,04092021055,Food Lion #193 Deli,5633 CREEDMOOR RD,,RALEIGH,NC,27612-6316,(919) 781-0597,2001/02/26 05:00:00+00,Food Stand,823,-78.68200551,35.85879117,M
3140366,04092021056,Cook Out #13,6505 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-6814,(919) 862-8830,2001/02/23 05:00:00+00,Food Stand,832,-78.6223661,35.87164953,M
3140367,04092013291,Biscuitville # 169,605 STELLATA DR ,,FUQUAY VARINA,NC,27526-1946,(919) 577-6380,2001/03/01 05:00:00+00,Restaurant,838,-78.78197965,35.59136738,M
3140368,04092021058,Harris Teeter #90 Produce ,13210 STRICKLAND RD ,,RALEIGH,NC,27613-7536,(919) 676-3534,2001/03/15 04:00:00+00,Food Stand,846,-78.72593809,35.90878313,M
3140369,04092021059,Harris Teeter #90 Meat Market,13210 STRICKLAND RD ,,RALEIGH,NC,27613-7536,(919) 676-3534,2001/03/15 04:00:00+00,Food Stand,847,-78.72593809,35.90878313,M
3140370,04092010286,GLAXO ZEBULON FOODSERVICE,1011 N ARENDELL AVE ,,ZEBULON,NC,27597,(919) 269-1161,1991/08/23 04:00:00+00,Restaurant,877,-78.32849317,35.83040268,M
3140371,04092110086,Leesville Middle-Elem. Sch. Cafeteria,8406 PRIDE WAY,,RALEIGH,NC,27613-1004,(919) 870-4200 ext. 24607,1991/08/20 04:00:00+00,Public School Lunchrooms,883,-78.71776597,35.88906793,M
3140372,04092110064,Combs Elementary Cafeteria,1600 LORIMER RD ,,RALEIGH,NC,27606-2626,(919) 233-4300 ext. 21008,1991/09/16 04:00:00+00,Public School Lunchrooms,894,-78.70364826,35.77692739,M
3140373,04092110065,Athens Drive Sr. High Cafeteria,1420 ATHENS DR ,,RALEIGH,NC,27606-2427,(919) 233-4050 ext. 24891,1991/09/16 04:00:00+00,Public School Lunchrooms,895,-78.71223403,35.76837413,M
3140374,04092110066,Fuquay Elementary Cafeteria,6600 JOHNSON POND RD ,,FUQUAY VARINA,NC,27526-9036,(919) 557-2578,1991/09/16 04:00:00+00,Public School Lunchrooms,898,-78.75816353,35.60302894,M
3140375,04092110082,Penny Road Elementary Cafeteria,10900 PENNY RD ,,CARY,NC,27518,(919) 387-2143,1991/09/16 04:00:00+00,Public School Lunchrooms,901,-78.7974133,35.71747138,M
3140376,04092110003,Broughton High Cafeteria,723 SAINT MARYS ST ,,RALEIGH,NC,27605-1424,(919) 856-7810 ext. 23266,1991/09/16 04:00:00+00,Public School Lunchrooms,912,-78.65350233,35.79075859,M
3140377,04092110034,Oberlin Middle School Cafeteria,2816 OBERLIN RD ,,RALEIGH,NC,27608-1220,(919) 881-4860 ext. 23337,1991/09/16 04:00:00+00,Public School Lunchrooms,913,-78.65663525,35.81366009,M
3140378,04092300192,Food Lion #536 Meat Market ,9101 - 107 Leesville Rd,,RALEIGH,NC,27613,,2001/01/01 05:00:00+00,Meat Market,834,-78.7231695,35.89661733,M
3140379,04092110001,Northwoods Elementary Cafeteria,8850 CHAPEL HILL RD ,,CARY,NC,27513-3741,(919) 460-3491 ext. 26939,1991/09/16 04:00:00+00,Public School Lunchrooms,918,-78.78956761,35.79556423,M
3140380,04092021170,Snoopy's Hot Dogs & More # 4,3600 Hillsborough St ,,RALEIGH,NC,27607,(919) 755-9022,2003/02/05 05:00:00+00,Food Stand,931,-78.68359497,35.79339075,M
3140381,04092021171,Super Target Deli,12000 Retail Dr,,WAKE FOREST,NC,27587,(919) 761-1001,2003/01/29 05:00:00+00,Food Stand,934,-78.54185229,35.97418356,M
3140382,04092013761,Harris Teeter #257 Deli,2080 Kildaire Farm Rd ,,CARY,NC,27511,(919) 233-9483,2003/01/17 05:00:00+00,Restaurant,937,-78.78068669,35.73567522,M
3140383,04092013767,Bojangles # 31,10610 Durant Rd ,,RALEIGH,NC,27614,(919) 870-8002,2003/02/18 05:00:00+00,Restaurant,949,-78.59121781,35.90586931,M
3140384,04092160004,Litchford Falls Healthcare Kitchen,8200 Litchford Rd,,RALEIGH,NC,27615,(919) 878-7772,2003/04/07 04:00:00+00,Institutional Food Service,1004,-78.60167943,35.89047655,M
3140385,04092013794,Subway #1880,3225 Avent Ferry Rd ,,RALEIGH,NC,27606,(919) 859-2121,2003/05/23 04:00:00+00,Restaurant,1011,-78.69565606,35.76673883,M
3140386,04092013798,Chili's Grill and Bar #867,115 Carillon Dr ,,GARNER,NC,27529,(919) 771-1700,2003/04/16 04:00:00+00,Restaurant,1015,-78.58321782,35.6933369,M
3140387,04092013805,McDonald's #28245,110 Carillon Dr ,,GARNER,NC,27529,(919) 771-2441,2003/04/23 04:00:00+00,Restaurant,1017,-78.58282245,35.69257858,M
3140388,04092021185,LA TAPATIA BUTCHER SHOP & SNACK BAR,1700 St. Albans Dr,,RALEIGH,NC,27609,(919) 954-4816,2003/04/08 04:00:00+00,Food Stand,1023,-78.61051607,35.83290448,M
3140389,04092160011,Sunrise At North Hills Kitchen,615 Spring Forest Rd ,,RALEIGH,NC,27609,(919) 981-6100,2003/04/21 04:00:00+00,Institutional Food Service,1032,-78.6250474,35.86558444,M
3140390,04092013789,Hong Kong,3490-190 Kildaire Farm RD ,,RALEIGH,NC,27518,(919) 303-8439,2003/03/19 04:00:00+00,Restaurant,996,-78.79444913,35.70342293,M
3140391,04092013811,Moe's Southwest Grill #150,506 Daniels St,,RALEIGH,NC,27605,(919) 664-6637,2003/06/16 04:00:00+00,Restaurant,1065,-78.66105804,35.79149603,M
3140392,04092160010,Rex Rehabilitation And Nursing Care Center Cafe,4210 Lake Boone Tra ,,RALEIGH,NC,27609,(919) 784-6632,2003/04/16 04:00:00+00,Institutional Food Service,1049,0,0,U
3140393,04092021201,Middle Creek Park,151 Middle Creek Park AVE ,,APEX,NC,27502,(919) 427-9891,2003/06/23 04:00:00+00,Food Stand,1073,-78.76496342,35.66722008,M
3140394,04092021190,Harris Teeter #112 Deli,270 Grande Heights Dr ,,CARY,NC,27513,(919) 460-4326,2003/06/23 04:00:00+00,Food Stand,1086,-78.78057473,35.80470311,M
3140395,04092021193,Harris Teeter #112 Meat Market/Seafood,270 Grande Heights Dr ,,CARY,NC,27513,(919) 460-4326,2003/06/24 04:00:00+00,Food Stand,1089,-78.78057473,35.80470311,M
3140396,04092021196,Harris Teeter #112 Produce,270 Grande Heights Dr ,,CARY,NC,27513,(919) 460-4326,2003/06/24 04:00:00+00,Food Stand,1093,-78.78057473,35.80470311,M
3140397,04092160021,Woodland Terrace Assisted Living Foodservice,300 Kildaire Woods Dr ,,CARY,NC,27511,(919) 465-0356,2001/09/05 04:00:00+00,Institutional Food Service,1104,-78.7790102,35.76613538,M
3140398,04092160013,Hillside Nursing Center Foodservice,968 E Wait Ave,,WAKE FOREST,NC,27587,(919) 556-4082,2003/06/06 04:00:00+00,Institutional Food Service,1058,-78.49437107,35.97212034,M
3140399,04092021200,Thomas Brooks Park,111 Brooks Park Ln ,,CARY,NC,27519,(919) 621-8410,2003/06/23 04:00:00+00,Food Stand,1074,-78.89927519,35.79552094,M
3140400,04092160025,Wellington Nursing Center Kitchen,1000 Tandal Pl,,KNIGHTDALE,NC,27545,(919) 266-7744,2003/06/29 04:00:00+00,Institutional Food Service,1116,-78.50919721,35.7933865,M
3140401,04092160026,Holly Hill Hospital Kitchen,3019 Falstaff Rd,,RALEIGH,NC,27610,(919) 250-7000,2003/06/28 04:00:00+00,Institutional Food Service,1117,-78.58396978,35.78299281,M
3140402,04092013834,Smithfield Chicken & Bar-B-Que,12504 Capital BLVD ,,WAKE FOREST,NC,27587,(919) 488-8388,2003/07/10 04:00:00+00,Restaurant,1136,-78.53382266,35.98666565,M
3140403,04092021198,Food Lion #572 Produce,8320-120 Litchford Rd ,,RALEIGH,NC,27615,(919) 790-8146,2003/06/30 04:00:00+00,Food Stand,1107,-78.6010328,35.89310541,M
3140404,04092013835,Starbucks Coffee #8545,125 Weston Pky,,CARY,NC,27513,(919) 677-6104,2003/07/10 04:00:00+00,Restaurant,1138,-78.77115656,35.82699882,M
3140405,04092021202,Lowes Foods #207 Deli,112 Bass Lake Rd,,HOLLY SPRINGS,NC,27540,(919) 577-6971,2003/07/10 04:00:00+00,Food Stand,1141,-78.82480349,35.65381034,M
3140406,04092021203,Lowes Foods #207 Produce,112 Bass Lake Rd,,HOLLY SPRINGS,NC,27540,(919) 577-6971,2003/07/10 04:00:00+00,Food Stand,1142,-78.82480349,35.65381034,M
3140407,04092021204,Lowes Foods #207 Meats & Seafood,112 Bass Lake Rd ,,HOLLY SPRINGS,NC,27540,(919) 577-6971,2003/07/10 04:00:00+00,Food Stand,1144,-78.82480349,35.65381034,M
3140408,04092160031,Tower Nursing and Rehabilitation Center Kitchen,3609 Bond St,,RALEIGH,NC,27604,(919) 231-8113,2003/07/10 04:00:00+00,Institutional Food Service,1146,-78.58155103,35.80357736,M
3140409,04092160043,Universal Health Care Of N.Ral Foodservice,5201 Clarks Fork Dr,,RALEIGH,NC,27616,(919) 872-7033,2003/07/10 04:00:00+00,Institutional Food Service,1147,-78.55549738,35.89053464,M
3140410,04092012835,Mcdonald's #17721,900 US 64 HWY W ,,APEX,NC,27523,(919) 380-0906,1998/11/16 05:00:00+00,Restaurant,1156,-78.82150811,35.74450967,M
3140411,04092110090,Pleasant Union Elem.School Cafet.,1900 PLEASANT UNION CHURCH RD ,,RALEIGH,NC,27614-7103,(919) 870-4230 ext. 20424,1992/08/20 04:00:00+00,Public School Lunchrooms,1348,-78.67273066,35.95029393,M
3140412,04092110091,Swift Creek Elem. Sch. Cafeteria,5601 TRYON RD ,,RALEIGH,NC,27606-4451,(919) 233-4328,1992/08/20 04:00:00+00,Public School Lunchrooms,1350,-78.73415023,35.74422456,M
3140413,04092160023,Spring Arbor Of East Raleigh Kitchen,1810 New Hope Rd,,RALEIGH,NC,27604,(919) 250-0255,2003/06/29 04:00:00+00,Institutional Food Service,1114,-78.56460892,35.80557253,M
3140414,04092110093,Durant Road Elem. Cafeteria,9901 DURANT RD ,YEAR ROUND,RALEIGH,NC,27614-9369,(919) 870-4210,1992/07/02 04:00:00+00,Public School Lunchrooms,1352,-78.58044482,35.8996083,M
3140415,04092110088,Willow Spring Elem.Cafet.,6800 DWIGHT ROWLAND RD,,WILLOW SPRING,NC,27592-9342,(919) 557-2957,1992/08/06 04:00:00+00,Public School Lunchrooms,1356,-78.72847454,35.59342877,M
3140416,04092020607,DOMINOS PIZZA #8940,1368 N MAIN ST ,,FUQUAY VARINA,NC,27526-2617,(919) 557-5551,1994/05/20 04:00:00+00,Food Stand,1364,-78.77533261,35.59075123,M
3140417,04092300216,A & C Supermarket Meat Market,3210-131 S Wilmington St ,,RALEIGH,NC,27603,(919) 232-2288,2003/07/09 04:00:00+00,Meat Market,1131,-78.65050023,35.73622566,M
3140418,04092011278,Hardees #1638,403 S Main St ,,ROLESVILLE,NC,27571-9664,(919) 554-2720,1993/05/07 04:00:00+00,Restaurant,1421,-78.46490482,35.91816232,M
3140419,04092300049,Fresh Market Seafood and Meat Market,400 WOODBURN RD,,RALEIGH,NC,27605-1324,(919) 828-7888,1991/08/26 04:00:00+00,Meat Market,1440,-78.65854792,35.78993917,M
3140420,04092300050,Harris Teeter #38 Meat Market ,5563 WESTERN BLVD ,,RALEIGH,NC,27606-1595,(919) 859-0110,1991/08/26 04:00:00+00,Meat Market,1441,-78.72051017,35.78412594,M
3140421,04092300052,Harris Teeter #289 Meat Market,2603 GLENWOOD AVE ,,RALEIGH,NC,27608-1044,(919) 787-5526,1991/08/26 04:00:00+00,Meat Market,1443,-78.66059857,35.81550372,M
3140422,04092011677,Residence Inn Foodservice,1000 NAVAHO DR ,,RALEIGH,NC,27609-7311,(919) 878-6100,1995/04/28 04:00:00+00,Restaurant,1481,-78.62401365,35.82750878,M
3140423,04092011678,McDonald's #14961,4413 Capital BLVD ,,RALEIGH,NC,27604-4314,(919) 878-0155,1995/04/22 04:00:00+00,Restaurant,1482,-78.58053149,35.84413369,M
3140424,04092011620,Legislative Bldg Snack Bar,16 W Jones St ,,RALEIGH,NC,27601-1030,,1995/01/10 05:00:00+00,Restaurant,1485,-78.63894874,35.78321051,M
3140425,04092011649,DANNY'S BARBEQUE,311 ASHVILLE AVE ,,CARY,NC,27518,(919) 851-5541,1995/03/01 05:00:00+00,Restaurant,1520,-78.78493778,35.73790672,M
3140426,04092011501,BOSTON MARKET,4558 Capital Blv ,,RALEIGH,NC,27604-4353,(919) 981-7450,1994/08/22 04:00:00+00,Restaurant,1537,-78.57896604,35.84571366,M
3140427,04092011623,Jose and Sons Mexican Kitchen & Bar,4112 PLEASANT VALLEY RD ,,RALEIGH,NC,27612-6256,(919) 571-1188,1995/01/10 05:00:00+00,Restaurant,1555,-78.70472608,35.86043731,M
3140428,04092011619,Legislative Bldg Cafeteria,16 W Jones St ,,RALEIGH,NC,27601-1030,(919) 733-6032,1995/01/10 05:00:00+00,Restaurant,1560,-78.63894874,35.78321051,M
3140429,04092110096,Davis Drive Elem. Sch. Cafeteria,2151 DAVIS DR,,CARY,NC,27519-9276,(919) 387-2135,1994/07/19 04:00:00+00,Public School Lunchrooms,1586,-78.85122421,35.77868872,M
3140430,04092300004,Larry's Supermarket - Meat Market,2041 MILBURNIE RD ,,RALEIGH,NC,27610-2211,(919) 834-0152,1991/12/05 05:00:00+00,Meat Market,1660,-78.6129263,35.78878222,M
3140431,04092010873,Koi Asian Grill and Sushi ,126 E Millbrook RD ,,RALEIGH,NC,27609,(919) 848-4663,1991/10/28 04:00:00+00,Restaurant,1682,-78.64059702,35.85499105,M
3140432,04092110015,Enloe High School Cafeteria,128 CLARENDON CRES ,,RALEIGH,NC,27610-2408,(919) 856-7918 ext. 24684,1991/10/28 04:00:00+00,Public School Lunchrooms,1690,-78.60333819,35.78424685,M
3140433,04092110079,Fox Road Elementary Cafeteria,7101 Fox Rd,,RALEIGH,NC,27616-6353,(919) 850-8845 ext. 23935,1991/10/28 04:00:00+00,Public School Lunchrooms,1692,-78.55535345,35.87372438,M
3140434,04092110038,Powell Center For Play & Ingenuity Magnet Elementary,1130 MARLBOROUGH RD ,,RALEIGH,NC,27610-1125,(919) 856-7737 ext. 26340,1991/10/28 04:00:00+00,Public School Lunchrooms,1693,-78.6029262,35.79517352,M
3140435,04092110059,Lockhart Elementary Cafeteria,1320 N SMITHFIELD RD ,,KNIGHTDALE,NC,27545-7726,(919) 266-8525 ext. 26483,1991/10/28 04:00:00+00,Public School Lunchrooms,1694,-78.48454627,35.80325743,M
3140436,04092110076,Wendell Elem School Cafeteria,3355 WENDELL BLVD ,,WENDELL,NC,27591-7289,(919) 365-2660 ext. 22751,1991/10/28 04:00:00+00,Public School Lunchrooms,1698,-78.37227706,35.7854195,M
3140437,04092110077,Zebulon Elem. School Cafeteria,700 PROCTOR ST ,,ZEBULON,NC,27597-8726,(919) 404-3680 ext. 21213,1991/10/28 04:00:00+00,Public School Lunchrooms,1699,-78.31958692,35.83895372,M
3140438,04092110078,Zebulon Middle School Cafeteria,1000 SHEPARD SCHOOL RD ,,ZEBULON,NC,27597-2770,(919) 404-3630 ext. 21113,1991/10/28 04:00:00+00,Public School Lunchrooms,1700,-78.31172209,35.83148192,M
3140439,04092010975,Cup A Joe,3100 HILLSBOROUGH ST,,RALEIGH,NC,27607-5437,(919) 828-9665,1991/10/23 04:00:00+00,Restaurant,1719,-78.67755439,35.7900473,M
3140440,04092110014,Brentwood Elementary Cafeteria,3426 Ingram Dr,,RALEIGH,NC,27604-2536,(919) 850-8720 ext. 26311,1991/09/18 04:00:00+00,Public School Lunchrooms,1747,-78.59691515,35.82925239,M
3140441,04092011561,Boston Market,9500 STRICKLAND RD,,RALEIGH,NC,27615-1935,(919) 676-7609,1994/09/22 04:00:00+00,Restaurant,1937,-78.65420911,35.90168214,M
3140442,04092110107,Baileywick Elem Sch. Cafet.,9425 BAILEYWICK RD ,,RALEIGH,NC,27615-1912,(919) 518-0090 ext. 25644,1997/03/07 05:00:00+00,Public School Lunchrooms,1941,-78.66473135,35.90916754,M
3140443,04092010922,Seaboard Cafe,707A Seamart Dr ,,RALEIGH,NC,27604,(919) 821-7553,1991/10/23 04:00:00+00,Restaurant,1735,-78.64073719,35.78943057,M
3140444,04092110116,Reedy Creek Elem. Cafeteria,940 REEDY CREEK RD ,,CARY,NC,27513-3046,(919) 380-3660 ext. 21684,1999/08/04 04:00:00+00,Public School Lunchrooms,1943,-78.76818589,35.81273352,M
